anime_id,season,date,time,mal_score,mal_members,danime_favorites,danime_rank
youjosenki2,2026-summer,2026-07-25,,,,,
youjosenki2,2026-summer,2026-07-26,,,,,
youjosenki2,2026-summer,2026-07-27,14:35:48,8.39,"246,544",99890,
youjosenki2,2026-summer,2026-07-28,23:08:19,8.38,"247,019",100323,
youjosenki2,2026-summer,2026-07-29,23:11:37,8.38,"247,473",100696,
youjosenki2,2026-summer,2026-07-30,23:03:13,8.37,"247,963",101207,
youjosenki2,2026-summer,2026-07-31,23:08:12,8.37,"248,408",101719,
youjosenki2,2026-summer,2026-08-01,22:22:07,8.36,"248,803",102349,
youjosenki2,2026-summer,2026-08-02,22:22:10,8.36,"249,283",102916,
youjosenki2,2026-summer,2026-08-03,23:40:49,8.35,"249,767",103315,
youjosenki2,2026-summer,2026-08-04,23:24:03,8.35,"250,133",103556,
youjosenki2,2026-summer,2026-08-05,23:10:47,8.34,"250,518",103795,
youjosenki2,2026-summer,2026-08-06,23:11:05,8.33,"250,940",104213,
youjosenki2,2026-summer,2026-08-07,22:04:50,8.33,"251,308",104565,
youjosenki2,2026-summer,2026-08-08,21:49:48,8.32,"251,622",105099,
youjosenki2,2026-summer,2026-08-09,21:51:42,8.32,"251,960",105579,
youjosenki2,2026-summer,2026-08-10,22:09:01,8.31,"252,342",105862,
youjosenki2,2026-summer,2026-08-11,22:06:47,8.31,"252,677",106182,
youjosenki2,2026-summer,2026-08-12,22:10:53,8.31,"253,002",106439,
youjosenki2,2026-summer,2026-08-13,22:11:36,8.32,"253,407",106868,
youjosenki2,2026-summer,2026-08-14,22:07:35,8.32,"253,796",107299,
youjosenki2,2026-summer,2026-08-15,21:53:29,8.31,"254,103",107774,
youjosenki2,2026-summer,2026-08-16,21:38:25,8.32,"254,460",108144,
youjosenki2,2026-summer,2026-08-17,21:43:04,8.31,"254,765",108412,
youjosenki2,2026-summer,2026-08-18,21:49:17,8.31,"255,096",108601,
youjosenki2,2026-summer,2026-08-22,18:56:07,8.31,"256,345",109710,
youjosenki2,2026-summer,2026-08-24,21:50:09,8.31,"257,050",110368,
youjosenki2,2026-summer,2026-08-25,21:46:48,8.30,"257,363",110485,
youjosenki2,2026-summer,2026-08-26,21:52:13,8.30,"257,659",110652,
